"post_title","post_name"
"General Cosmetic Consultation","general-cosmetic-consultation"
"Facial Aesthetic Consultation","facial-aesthetic-consultation"
"Rhinoplasty","rhinoplasty"
"Blepharoplasty","blepharoplasty"
"Facelift","facelift"
"Hair Transplant","hair-transplant"
"Gynecomastia","gynecomastia"
"Liposuction","liposuction"
"Tummy Tuck","tummy-tuck"
"Mommy Makeover","mommy-makeover"
"Body Contouring","body-contouring"
"Breast Augmentation","breast-augmentation"
"Breast Reduction","breast-reduction"
"Mole & Skin Lesion Removal","mole-skin-lesion-removal"
"Other","other"
