"ID","post_title","post_name","thumbnail_id"
"10","Contact Us","contact-us",NULL
"8631","About Bliniq","about-us",NULL
"8933","Video Gallery","gallery",NULL
"8759","Appointment","appointment",NULL
"3200","Home Classic","http-bliniq-in-about-us",NULL
"12243","Neck","neck",NULL
"12245","Upper Arms","upper-arms",NULL
"12249","Flank/Love Handles","flank-love-handles",NULL
"12253","Thighs","thighs",NULL
"12255","Knees","knees",NULL
"12257","Calves","calves",NULL
"12259","Breast","breast",NULL
"12261","Face Lift","face-lift",NULL
"12272","Double Eyelid Surgery","double-eyelid-surgery",NULL
"12274","Eye Bags Removal Surgery","eye-bags-removal-surgery",NULL
"12277","Nose (Cosmetic Rhinoplasty)","nose-cosmetic-rhinoplasty",NULL
"12279","Buccal Fat Pad Removal","buccal-fat-pad-removal",NULL
"12282","Dimple Creation Surgery","dimple-creation-surgery",NULL
"12284","Lip Reduction","lip-reduction",NULL
"12286","Upper Lip Lift","upper-lip-lift",NULL
"12288","Chin Implant","chin-implant",NULL
"12290","Genioplasty","genioplasty",NULL
"12292","Gynecomastia Surgery in Delhi","gynecomastia-surgery-in-delhi",NULL
"12294","Puffy Nipple Surgery","puffy-nipple-surgery",NULL
"12296","Pectoral Implants","pectoral-implants",NULL
"12298","Saggy Arms Surgery","saggy-arms-surgery",NULL
"12300","Six Pack Abs Creation","six-pack-abs-creation",NULL
"12302","Tummy Tuck","tummy-tuck",NULL
"12304","Penile Lengthening","penile-lengthening",NULL
"12306","Fat Injection","fat-injection",NULL
"12308","Circumcision","circumcision",NULL
"12313","Face Lift","face-lift-2",NULL
"12315","Double Eyelid Surgery","double-eyelid-surgery-2",NULL
"12317","Eye Bags Removal Surgery","eye-bags-removal-surgery-2",NULL
"12320","Eye Bags Removal Surgery","eye-bags-removal-surgery-3",NULL
"12322","Buccal Fat Pad Removal","buccal-fat-pad-removal-2",NULL
"12324","Dimple Creation Surgery","dimple-creation-surgery-2",NULL
"12329","Lip Reduction","lip-reduction-2",NULL
"12331","Upper Lip Lift","upper-lip-lift-2",NULL
"12333","Chin Implant","chin-implant-2",NULL
"12336","Genioplasty","genioplasty-2",NULL
"12338","Fat Injection","fat-injection-2",NULL
"12344","Breast implant","breast-implant-3",NULL
"12346","Saggy Arms Surgery","saggy-arms-surgery-2",NULL
"12348","Tummy Tuck","tummy-tuck-2",NULL
"12355","Hymenoplasty","hymenoplasty",NULL
"12357","Vaginal Tightening","vaginal-tightening",NULL
"12359","Labia Minora Reduction","labia-minora-reduction",NULL
"12361","Fat Injection","fat-injection-3",NULL
"12363","Mons Reduction","mons-reduction",NULL
"12367","Head","head",NULL
"12369","Beard","beard",NULL
"12371","Moustache","moustache",NULL
"12376","Eyebrow","eyebrow",NULL
"12378","PRP Therapy","prp-therapy",NULL
"12380","Mesotherapy","mesotherapy",NULL
"12382","White Hair Removal","white-hair-removal",NULL
"12385","Male to Female","male-to-female",NULL
"12387","Female to Male","female-to-male",NULL
"12389","Scarless Lipoma Removal","scarless-lipoma-removal",NULL
"12394","Botox And Fillers","botox-and-fillers",NULL
"12396","Chemical Peels","chemical-peels",NULL
"12398","Laser Hair Removal","laser-hair-removal",NULL
"12401","Scar Remodeling","scar-remodeling",NULL
"12403","Mole Removal","mole-removal",NULL
"12405","Skin Tag Removal","skin-tag-removal",NULL
"12416","Blog","blog-2",NULL
"12579","Nose (Cosmetic Rhinoplasty)","nose-cosmetic-rhinoplasty-2",NULL
"12592","Breast Reduction","breast-reduction",NULL
"12595","Breast Lift","breast-lift",NULL
"12958","test","test",NULL
"14151","No Deposit Bonuses Could Help You Earn Real Money","no-deposit-bonuses-could-help-you-earn-real-money",NULL
"14153","Free Casino Slots","free-casino-slots",NULL
